S16000074,74088
S16000075,78002
S16000076,72891
S16000077,68523
S16000078,63388
S16000079,67689
S16000080,79920
S16000081,65465
S16000082,66826
S16000083,63443
S16000084,76884
S16000085,72195
S16000086,67737
S16000087,75886
S16000088,63884
S16000089,73987
S16000090,69546
S16000091,62972
S16000092,69175
S16000093,64552
S16000094,69124
S16000095,66693
S16000096,76074
S16000097,75071
S16000098,71243
S16000099,74420
S16000100,64388
S16000101,74753
S16000102,66730
S16000103,65116
S16000104,77274
S16000105,77477
S16000106,70355
S16000107,73426
S16000108,74138
S16000109,75954
S16000110,26502
S16000111,66091
S16000112,75956
S16000113,69235
S16000114,72694
S16000115,71396
S16000116,76120
S16000117,71577
S16000118,74089
S16000119,75141
S16000120,73554
S16000121,70721
S16000122,65271
S16000123,79204
S16000124,69404
S16000125,74514
S16000126,79562
S16000127,75973
S16000128,78794
S16000129,68476
S16000130,75618
S16000131,69354
S16000132,72958
S16000133,70097
S16000134,71417
S16000135,19245
S16000136,71094
S16000137,65019
S16000138,69930
S16000139,63312
S16000140,67655
S16000141,72576
S16000142,21988
S16000143,66663
S16000144,70405
S16000145,79423
S16000146,71694
