16000074,Aberdeen Central
16000075,Aberdeen Donside
16000076,Aberdeen South and North Kincardine
16000077,Aberdeenshire East
16000078,Aberdeenshire West
16000079,Airdrie and Shotts
16000080,Almond Valley
16000081,Angus North and Mearns
16000082,Angus South
16000083,Argyll and Bute
16000084,Ayr
16000085,Banffshire and Buchan Coast
16000086,"Caithness, Sutherland and Ross"
16000087,"Carrick, Cumnock and Doon Valley"
16000088,Clackmannanshire and Dunblane
16000089,Clydebank and Milngavie
16000090,Clydesdale
16000091,Coatbridge and Chryston
16000092,Cowdenbeath
16000093,Cumbernauld and Kilsyth
16000094,Cunninghame North
16000095,Cunninghame South
16000096,Dumbarton
16000097,Dumfriesshire
16000098,Dundee City East
16000099,Dundee City West
16000100,Dunfermline
16000101,East Kilbride
16000102,East Lothian
16000103,Eastwood
16000104,Edinburgh Central
16000105,Edinburgh Eastern
16000106,Edinburgh Northern and Leith
16000107,Edinburgh Pentlands
16000108,Edinburgh Southern
16000109,Edinburgh Western
16000110,Na h-Eileanan an Iar
16000111,"Ettrick, Roxburgh and Berwickshire"
16000112,Falkirk East
16000113,Falkirk West
16000114,Galloway and West Dumfries
16000115,Glasgow Anniesland
16000116,Glasgow Cathcart
16000117,Glasgow Kelvin
16000118,Glasgow Maryhill and Springburn
16000119,Glasgow Pollok
16000120,Glasgow Provan
16000121,Glasgow Shettleston
16000122,Glasgow Southside
16000123,Greenock and Inverclyde
16000124,"Hamilton, Larkhall and Stonehouse"
16000125,Inverness and Nairn
16000126,Kilmarnock and Irvine Valley
16000127,Kirkcaldy
16000128,Linlithgow
16000129,Mid Fife and Glenrothes
16000130,Midlothian North and Musselburgh
16000131,"Midlothian South, Tweeddale and Lauderdale"
16000132,Moray
16000133,Motherwell and Wishaw
16000134,North East Fife
16000135,Orkney Islands
16000136,Paisley
16000137,Perthshire North
16000138,Perthshire South and Kinrossshire
16000139,Renfrewshire North and West
16000140,Renfrewshire South
16000141,Rutherglen
16000142,Shetland Islands
16000143,"Skye, Lochaber and Badenoch"
16000144,Stirling
16000145,Strathkelvin and Bearsden
16000146,Uddingston and Bellshill
