Aberdeen Central,Aberdeen City,North East Scotland
Aberdeen Donside,Aberdeen City,North East Scotland
Aberdeen South and North Kincardine,"Aberdeen City, Aberdeenshire",North East Scotland
Aberdeenshire East,Aberdeenshire,North East Scotland
Aberdeenshire West,Aberdeenshire,North East Scotland
Airdrie and Shotts,North Lanarkshire,Central Scotland
Almond Valley,West Lothian,Lothian
Angus North and Mearns,"Aberdeenshire, Angus",North East Scotland
Angus South,Angus,North East Scotland
Argyll and Bute,Argyll and Bute,Highlands and Islands
Ayr,South Ayrshire,South Scotland
Banffshire and Buchan Coast,"Aberdeenshire, Moray",North East Scotland
"Caithness, Sutherland and Ross",Highland,Highlands and Islands
"Carrick, Cumnock and Doon Valley","East Ayrshire, South Ayrshire",South Scotland
Clackmannanshire and Dunblane,"Clackmannanshire, Stirling",Mid Scotland and Fife
Clydebank and Milngavie,"East Dunbartonshire, West Dunbartonshire",West Scotland
Clydesdale,South Lanarkshire,South Scotland
Coatbridge and Chryston,North Lanarkshire,Central Scotland
Cowdenbeath,Fife,Mid Scotland and Fife
Cumbernauld and Kilsyth,North Lanarkshire,Central Scotland
Cunninghame North,North Ayrshire,West Scotland
Cunninghame South,North Ayrshire,West Scotland
Dumbarton,"Argyll and Bute, West Dunbartonshire",West Scotland
Dumfriesshire,Dumfries and Galloway,South Scotland
Dunfermline,Fife,Mid Scotland and Fife
Dundee City East,Dundee City,North East Scotland
Dundee City West,Dundee City,North East Scotland
East Kilbride,South Lanarkshire,Central Scotland
East Lothian,East Lothian,South Scotland
Eastwood,East Renfrewshire,West Scotland
Edinburgh Central,City of Edinburgh,Lothian
Edinburgh Eastern,City of Edinburgh,Lothian
Edinburgh Northern and Leith,City of Edinburgh,Lothian
Edinburgh Pentlands,City of Edinburgh,Lothian
Edinburgh Southern,City of Edinburgh,Lothian
Edinburgh Western,City of Edinburgh,Lothian
"Ettrick, Roxburgh and Berwickshire",Scottish Borders,South Scotland
Falkirk East,Falkirk,Central Scotland
Falkirk West,Falkirk,Central Scotland
Galloway and West Dumfries,Dumfries and Galloway,South Scotland
Glasgow Anniesland,Glasgow City,Glasgow
Glasgow Cathcart,Glasgow City,Glasgow
Glasgow Kelvin,Glasgow City,Glasgow
Glasgow Maryhill and Springburn,Glasgow City,Glasgow
Glasgow Pollok,Glasgow City,Glasgow
Glasgow Provan,Glasgow City,Glasgow
Glasgow Shettleston,Glasgow City,Glasgow
Glasgow Southside,Glasgow City,Glasgow
Greenock and Inverclyde,Inverclyde,West Scotland
"Hamilton, Larkhall and Stonehouse",South Lanarkshire,Central Scotland
Inverness and Nairn,Highland,Highlands and Islands
Kilmarnock and Irvine Valley,East Ayrshire,South Scotland
Kirkcaldy,Fife,Mid Scotland and Fife
Linlithgow,West Lothian,Lothian
Midlothian North and Musselburgh,"East Lothian, Midlothian",Lothian
"Midlothian South, Tweedale and Lauderdale","Midlothian, Scottish Borders",South Scotland
Mid Fife and Glenrothes,Fife,Mid Scotland and Fife
Motherwell and Wishaw,North Lanarkshire,Central Scotland
Moray,Moray,Highlands and Islands
Na h-Eileanan an Iar,Na h-Eileanan Siar,Highlands and Islands
North East Fife,Fife,Mid Scotland and Fife
Orkney,Orkney Islands,Highlands and Islands
Paisley,Renfrewshire,West Scotland
Perthshire North,Perth and Kinross,Mid Scotland and Fife
Perthshire South and Kinross-shire,Perth and Kinross,Mid Scotland and Fife
Renfrewshire North and West,"Inverclyde, Renfrewshire",West Scotland
Renfrewshire South,Renfrewshire,West Scotland
Rutherglen,South Lanarkshire,Glasgow
Shetland,Shetland Islands,Highlands and Islands
"Skye, Lochaber and Badenoch",Highland,Highlands and Islands
Stirling,Stirling,Mid Scotland and Fife
Strathkelvin and Bearsden,East Dunbartonshire,West Scotland
Uddingston and Bellshill,"North Lanarkshire, South Lanarkshire",Central Scotland
