"1","Aberdeen Central"
"2","Aberdeen North"
"3","Aberdeen South"
"4","Airdrie and Shotts"
"5","Angus"
"6","Argyll and Bute"
"7","Ayr"
"8","Banff and Buchan"
"9","Caithness, Sutherland and Easter Ross"
"10","Carrick, Cumnock and Doon Valley"
"11","Central Fife"
"12","Clydebank and Milngavie"
"13","Clydesdale"
"14","Coatbridge and Chryston"
"15","Cumbernauld and Kilsyth"
"16","Cunninghame North"
"17","Cunninghame South"
"18","Dumbarton"
"19","Dumfries"
"20","Dundee East"
"21","Dundee West"
"22","Dunfermline East"
"23","Dunfermline West"
"24","East Kilbride"
"25","East Lothian"
"26","Eastwood"
"27","Edinburgh Central"
"28","Edinburgh East and Musselburgh"
"29","Edinburgh North and Leith"
"30","Edinburgh Pentlands"
"31","Edinburgh South"
"32","Edinburgh West"
"33","Falkirk East"
"34","Falkirk West"
"35","Galloway and Upper Nithsdale"
"36","Glasgow Anniesland"
"37","Glasgow Baillieston"
"38","Glasgow Cathcart"
"39","Glasgow Govan"
"40","Glasgow Kelvin"
"41","Glasgow Maryhill"
"42","Glasgow Pollok"
"43","Glasgow Rutherglen"
"44","Glasgow Shettleston"
"45","Glasgow Springburn"
"46","Gordon"
"47","Greenock and Inverclyde"
"48","Hamilton North and Bellshill"
"49","Hamilton South"
"50","Inverness East, Nairn and Lochaber"
"51","Kilmarnock and Loudoun"
"52","Kirkcaldy"
"53","Linlithgow"
"54","Livingston"
"55","Midlothian"
"56","Moray"
"57","Motherwell and Wishaw"
"58","North East Fife"
"59","North Tayside"
"60","Ochil"
"61","Orkney Islands"
"62","Paisley North"
"63","Paisley South"
"64","Perth"
"65","Ross, Skye and Inverness West"
"66","Roxburgh and Berwickshire"
"67","Shetland Islands"
"68","Stirling"
"69","Strathkelvin and Bearsden"
"70","Tweeddale, Ettrick and Lauderdale"
"71","West Aberdeenshire and Kincardine"
"72","West Renfrewshire"
"73","Western Isles"
